"subject" "problem" "choice" "order"
"679" 26 4 1 1
"680" 26 5 1 6
"681" 26 6 0 7
"682" 26 7 1 4
"683" 26 8 0 2
"684" 26 9 0 3
"703" 27 1 0 7
"704" 27 2 1 9
"705" 27 3 0 1
"706" 27 4 1 5
"707" 27 5 0 6
"708" 27 6 1 2
"709" 27 7 1 8
"710" 27 8 1 3
"711" 27 9 0 4
"730" 28 1 1 1
"731" 28 2 1 8
"732" 28 3 0 3
"733" 28 4 1 5
"734" 28 5 1 7
"735" 28 6 0 2
"736" 28 7 0 4
"737" 28 8 1 9
"738" 28 9 1 6
