,subject,problem,choice,group,samplesize
33,33,0,1,2,39.0
72,33,1,0,2,49.0
111,33,2,0,2,13.0
150,33,3,0,2,40.0
189,33,4,0,2,50.0
228,33,5,1,2,10.0
34,34,0,0,2,29.0
73,34,1,1,2,158.0
112,34,2,0,2,120.0
151,34,3,0,2,226.0
190,34,4,0,2,161.0
229,34,5,1,2,176.0
35,35,0,0,2,20.0
74,35,1,1,2,51.0
113,35,2,1,2,18.0
152,35,3,1,2,17.0
191,35,4,1,2,20.0
230,35,5,0,2,8.0
36,36,0,0,2,19.0
75,36,1,1,2,34.0
114,36,2,1,2,71.0
153,36,3,0,2,61.0
192,36,4,1,2,29.0
231,36,5,1,2,2.0
37,37,0,1,2,3.0
76,37,1,1,2,24.0
115,37,2,0,2,32.0
154,37,3,0,2,20.0
193,37,4,0,2,14.0
232,37,5,1,2,39.0
38,38,0,0,2,50.0
77,38,1,0,2,59.0
116,38,2,1,2,16.0
155,38,3,0,2,51.0
194,38,4,1,2,45.0
233,38,5,1,2,38.0
39,39,0,0,2,36.0
78,39,1,0,2,41.0
117,39,2,0,2,37.0
156,39,3,0,2,48.0
195,39,4,0,2,32.0
234,39,5,1,2,61.0
