,subject,problem,group,choice,samplesize
288,4,S20G2,0,0,14
289,4,S21G2,0,0,18
290,4,S1G3,0,1,15
291,4,S2G3,0,0,13
292,4,S3G3,0,0,12
293,4,S4G3,0,1,22
294,4,S5G3,0,0,12
295,4,S6G3,0,0,13
296,4,S7G3,0,0,25
297,4,S8G3,0,1,13
298,4,S9G3,0,0,12
299,4,S10G3,0,0,12
300,4,S11G3,0,1,14
301,4,S12G3,0,0,13
302,4,S13G3,0,1,12
303,4,S14G3,0,0,12
304,4,S15G3,0,0,18
305,4,S16G3,0,0,12
306,4,S17G3,0,0,9
307,4,S18G3,0,0,11
308,4,S19G3,0,0,15
309,4,S20G3,0,0,16
310,4,S21G3,0,0,14
311,4,S1G4,0,1,10
312,4,S2G4,0,0,16
313,4,S3G4,0,1,14
314,4,S4G4,0,1,13
315,4,S5G4,0,1,12
316,4,S6G4,0,1,11
317,4,S7G4,0,1,18
318,4,S8G4,0,1,12
319,4,S9G4,0,1,15
320,4,S10G4,0,1,14
321,4,S11G4,0,1,12
322,4,S12G4,0,0,14
323,4,S13G4,0,1,8
324,4,S14G4,0,1,11
325,4,S15G4,0,1,17
326,4,S16G4,0,1,11
327,4,S17G4,0,1,15
328,4,S18G4,0,0,15
329,4,S19G4,0,1,15
330,4,S20G4,0,1,12
331,4,S21G4,0,1,10
332,5,S1G1,0,0,17
333,5,S2G1,0,0,13
334,5,S3G1,0,1,21
335,5,S4G1,0,0,15
336,5,S5G1,0,0,24
337,5,S6G1,0,0,17
338,5,S7G1,0,1,28
339,5,S8G1,0,0,15
340,5,S9G1,0,1,23
341,5,S10G1,0,0,28
342,5,S11G1,0,1,15
343,5,S12G1,0,1,18
344,5,S13G1,0,0,15
345,5,S14G1,0,0,25
346,5,S15G1,0,0,21
347,5,S16G1,0,0,28
348,5,S17G1,0,0,24
349,5,S18G1,0,1,14
350,5,S19G1,0,0,18
351,5,S20G1,0,1,29
352,5,S21G1,0,1,23
353,5,S1G2,0,0,20
354,5,S2G2,0,1,17
355,5,S3G2,0,0,36
356,5,S4G2,0,1,12
357,5,S5G2,0,0,19
358,5,S6G2,0,1,14
359,5,S7G2,0,0,25
360,5,S8G2,0,1,17
361,5,S9G2,0,1,24
362,5,S10G2,0,1,22
363,5,S11G2,0,0,16
364,5,S12G2,0,0,20
365,5,S13G2,0,1,25
366,5,S14G2,0,0,33
367,5,S15G2,0,0,16
368,5,S16G2,0,1,26
369,5,S17G2,0,0,27
370,5,S18G2,0,1,20
371,5,S19G2,0,1,18
372,5,S20G2,0,1,23
373,5,S21G2,0,0,30
374,5,S1G3,0,0,19
375,5,S2G3,0,1,10
376,5,S3G3,0,1,22
377,5,S4G3,0,0,24
378,5,S5G3,0,1,8
379,5,S6G3,0,1,14
380,5,S7G3,0,1,27
381,5,S8G3,0,1,20
382,5,S9G3,0,0,14
383,5,S10G3,0,1,20
384,5,S11G3,0,1,11
385,5,S12G3,0,1,22
386,5,S13G3,0,1,18
387,5,S14G3,0,0,26
388,5,S15G3,0,0,23
389,5,S16G3,0,0,16
390,5,S17G3,0,1,24
391,5,S18G3,0,1,13
392,5,S19G3,0,1,31
393,5,S20G3,0,1,18
394,5,S21G3,0,1,12
395,5,S1G4,0,1,16
396,5,S2G4,0,1,13
397,5,S3G4,0,0,42
398,5,S4G4,0,1,14
399,5,S5G4,0,1,27
400,5,S6G4,0,0,26
401,5,S7G4,0,1,21
402,5,S8G4,0,0,22
403,5,S9G4,0,0,37
404,5,S10G4,0,0,63
405,5,S11G4,0,1,17
406,5,S12G4,0,0,27
407,5,S13G4,0,0,20
408,5,S14G4,0,0,21
409,5,S15G4,0,0,17
410,5,S16G4,0,0,36
411,5,S17G4,0,1,13
412,5,S18G4,0,0,19
413,5,S19G4,0,0,12
414,5,S20G4,0,0,7
415,5,S21G4,0,0,18
416,6,S1G1,0,0,24
417,6,S2G1,0,1,35
418,6,S3G1,0,0,60
419,6,S4G1,0,0,17
420,6,S5G1,0,0,26
421,6,S6G1,0,0,12
422,6,S7G1,0,0,48
423,6,S8G1,0,0,43
424,6,S9G1,0,1,41
425,6,S10G1,0,0,12
426,6,S11G1,0,1,34
427,6,S12G1,0,0,26
428,6,S13G1,0,0,44
429,6,S14G1,0,0,31
430,6,S15G1,0,1,26
431,6,S16G1,0,0,16
432,6,S17G1,0,0,48
433,6,S18G1,0,1,24
434,6,S19G1,0,0,24
435,6,S20G1,0,0,54
436,6,S21G1,0,0,41
437,6,S1G2,0,1,15
438,6,S2G2,0,0,33
439,6,S3G2,0,1,25
440,6,S4G2,0,1,17
441,6,S5G2,0,1,16
442,6,S6G2,0,1,15
443,6,S7G2,0,0,16
444,6,S8G2,0,1,25
445,6,S9G2,0,0,40
446,6,S10G2,0,1,16
447,6,S11G2,0,1,39
448,6,S12G2,0,1,28
449,6,S13G2,0,1,53
450,6,S14G2,0,1,89
451,6,S15G2,0,0,47
452,6,S16G2,0,1,23
453,6,S17G2,0,1,16
454,6,S18G2,0,1,55
455,6,S19G2,0,1,18
456,6,S20G2,0,1,61
457,6,S21G2,0,0,14
458,6,S1G3,0,0,25
459,6,S2G3,0,0,21
460,6,S3G3,0,1,22
461,6,S4G3,0,0,32
462,6,S5G3,0,1,8
463,6,S6G3,0,1,4
464,6,S7G3,0,1,27
465,6,S8G3,0,0,20
466,6,S9G3,0,0,34
467,6,S10G3,0,1,23
468,6,S11G3,0,1,41
469,6,S12G3,0,0,8
470,6,S13G3,0,1,60
471,6,S14G3,0,1,33
472,6,S15G3,0,0,29
473,6,S16G3,0,0,19
474,6,S17G3,0,1,3
475,6,S18G3,0,1,21
476,6,S19G3,0,1,7
477,6,S20G3,0,0,47
478,6,S21G3,0,1,20
479,6,S1G4,0,0,20
480,6,S2G4,0,0,41
481,6,S3G4,0,1,35
482,6,S4G4,0,0,21
483,6,S5G4,0,0,10
484,6,S6G4,0,0,5
485,6,S7G4,0,0,10
486,6,S8G4,0,1,10
487,6,S9G4,0,0,24
488,6,S10G4,0,0,24
489,6,S11G4,0,0,27
490,6,S12G4,0,1,40
491,6,S13G4,0,1,18
492,6,S14G4,0,0,50
493,6,S15G4,0,1,24
494,6,S16G4,0,0,51
495,6,S17G4,0,1,20
496,6,S18G4,0,0,27
497,6,S19G4,0,0,21
498,6,S20G4,0,0,11
499,6,S21G4,0,0,7
500,7,S1G1,0,0,73
501,7,S2G1,0,0,267
502,7,S3G1,0,1,87
503,7,S4G1,0,1,76
504,7,S5G1,0,0,56
505,7,S6G1,0,0,49
506,7,S7G1,0,1,92
507,7,S8G1,0,0,30
508,7,S9G1,0,1,120
509,7,S10G1,0,1,90
510,7,S11G1,0,0,49
511,7,S12G1,0,1,35
512,7,S13G1,0,1,19
513,7,S14G1,0,0,56
514,7,S15G1,0,0,28
515,7,S16G1,0,1,237
516,7,S17G1,0,1,34
517,7,S18G1,0,1,17
518,7,S19G1,0,0,35
519,7,S20G1,0,1,9
520,7,S21G1,0,0,40
521,7,S1G2,0,1,176
522,7,S2G2,0,1,88
523,7,S3G2,0,0,106
524,7,S4G2,0,0,144
525,7,S5G2,0,1,20
526,7,S6G2,0,1,65
527,7,S7G2,0,1,49
528,7,S9G2,0,0,153
529,7,S10G2,0,1,13
530,7,S11G2,0,1,29
531,7,S12G2,0,0,13
532,7,S13G2,0,0,9
533,7,S14G2,0,1,48
534,7,S15G2,0,0,39
535,7,S16G2,0,1,78
536,7,S17G2,0,0,36
537,7,S18G2,0,1,148
538,7,S19G2,0,0,8
539,7,S20G2,0,0,23
540,7,S21G2,0,1,233
541,7,S1G3,0,0,259
542,7,S2G3,0,0,235
543,7,S3G3,0,1,95
544,7,S4G3,0,1,86
545,7,S5G3,0,1,81
546,7,S6G3,0,1,43
547,7,S7G3,0,1,93
548,7,S8G3,0,1,12
549,7,S9G3,0,0,19
550,7,S10G3,0,0,83
551,7,S11G3,0,0,15
552,7,S12G3,0,0,55
553,7,S13G3,0,0,17
554,7,S14G3,0,1,24
555,7,S15G3,0,0,17
556,7,S16G3,0,0,64
557,7,S17G3,0,1,97
558,7,S18G3,0,1,40
559,7,S19G3,0,1,16
560,7,S20G3,0,0,11
561,7,S21G3,0,0,54
562,7,S1G4,0,1,71
563,7,S2G4,0,1,154
564,7,S3G4,0,1,75
565,7,S4G4,0,0,80
566,7,S5G4,0,1,68
567,7,S6G4,0,1,90
568,7,S7G4,0,1,101
569,7,S8G4,0,0,10
570,7,S9G4,0,1,78
571,7,S10G4,0,1,47
572,7,S11G4,0,1,45
573,7,S12G4,0,1,8
574,7,S13G4,0,1,22
575,7,S14G4,0,0,36
576,7,S15G4,0,0,47
577,7,S16G4,0,1,46
578,7,S17G4,0,1,42
579,7,S18G4,0,1,25
580,7,S19G4,0,0,23
581,7,S20G4,0,0,10
582,7,S21G4,0,1,39
583,8,S1G1,0,0,29
584,8,S3G1,0,0,32
585,8,S4G1,0,1,33
586,8,S5G1,0,0,21
587,8,S6G1,0,1,30
588,8,S7G1,0,0,57
589,8,S8G1,0,1,133
590,8,S9G1,0,1,43
591,8,S10G1,0,0,75
592,8,S11G1,0,1,92
593,8,S12G1,0,1,1
594,8,S13G1,0,0,23
595,8,S14G1,0,0,72
596,8,S15G1,0,0,90
597,8,S16G1,0,0,92
598,8,S17G1,0,0,72
599,8,S18G1,0,0,72
600,8,S19G1,0,1,72
601,8,S20G1,0,0,36
602,8,S21G1,0,1,36
603,8,S1G2,0,1,36
604,8,S2G2,0,0,18
605,8,S3G2,0,1,41
606,8,S4G2,0,1,60
607,8,S5G2,0,0,43
608,8,S6G2,0,0,7
609,8,S7G2,0,1,56
610,8,S8G2,0,1,101
611,8,S9G2,0,1,26
612,8,S10G2,0,1,90
613,8,S11G2,0,1,96
614,8,S12G2,0,0,97
615,8,S13G2,0,1,19
616,8,S14G2,0,1,72
617,8,S15G2,0,1,18
618,8,S16G2,0,1,36
619,8,S17G2,0,1,36
620,8,S18G2,0,1,27
621,8,S19G2,0,1,72
622,8,S20G2,0,1,74
623,8,S21G2,0,1,36
624,8,S1G3,0,1,64
625,8,S2G3,0,1,30
626,8,S3G3,0,1,19
627,8,S4G3,0,1,70
628,8,S5G3,0,1,27
629,8,S6G3,0,0,1
630,8,S7G3,0,1,171
631,8,S8G3,0,1,99
632,8,S9G3,0,1,19
633,8,S10G3,0,1,63
634,8,S11G3,0,0,90
635,8,S12G3,0,1,99
636,8,S13G3,0,1,19
637,8,S14G3,0,1,90
638,8,S15G3,0,1,1
639,8,S16G3,0,1,72
640,8,S17G3,0,1,36
641,8,S18G3,0,0,36
642,8,S19G3,0,0,72
643,8,S20G3,0,1,36
644,8,S21G3,0,0,26
645,8,S1G4,0,1,45
646,8,S2G4,0,1,36
647,8,S3G4,0,0,12
648,8,S4G4,0,0,46
649,8,S5G4,0,0,40
650,8,S6G4,0,1,16
651,8,S7G4,0,0,74
652,8,S8G4,0,0,91
653,8,S9G4,0,0,3
654,8,S10G4,0,0,69
655,8,S11G4,0,0,90
656,8,S12G4,0,1,100
657,8,S13G4,0,0,27
658,8,S14G4,0,1,90
659,8,S15G4,0,0,18
660,8,S16G4,0,1,36
661,8,S17G4,0,0,36
662,8,S18G4,0,1,26
663,8,S19G4,0,1,36
664,8,S20G4,0,0,54
665,8,S21G4,0,1,8
666,9,S1G1,0,0,30
667,9,S2G1,0,0,21
668,9,S3G1,0,0,10
669,9,S4G1,0,1,12
670,9,S5G1,0,1,21
671,9,S6G1,0,0,12
672,9,S7G1,0,0,13
673,9,S8G1,0,1,23
674,9,S9G1,0,1,14
675,9,S10G1,0,0,14
676,9,S11G1,0,1,20
677,9,S12G1,0,1,31
678,9,S13G1,0,0,26
679,9,S14G1,0,1,20
680,9,S15G1,0,0,16
681,9,S16G1,0,1,16
682,9,S17G1,0,0,27
683,9,S18G1,0,0,12
684,9,S19G1,0,0,38
685,9,S20G1,0,1,22
686,9,S1G2,0,1,16
687,9,S2G2,0,0,11
688,9,S3G2,0,0,8
689,9,S4G2,0,0,8
690,9,S5G2,0,0,18
691,9,S6G2,0,1,11
692,9,S7G2,0,1,11
693,9,S8G2,0,1,42
694,9,S9G2,0,0,14
695,9,S10G2,0,0,19
696,9,S11G2,0,0,7
697,9,S12G2,0,1,50
698,9,S13G2,0,0,20
699,9,S14G2,0,0,24
700,9,S15G2,0,1,9
701,9,S16G2,0,0,17
702,9,S17G2,0,1,19
703,9,S18G2,0,0,20
704,9,S19G2,0,0,28
705,9,S20G2,0,1,21
706,9,S1G3,0,1,20
707,9,S2G3,0,0,14
708,9,S3G3,0,0,12
709,9,S4G3,0,1,16
710,9,S5G3,0,0,1
711,9,S6G3,0,0,6
712,9,S7G3,0,1,3
713,9,S8G3,0,1,16
714,9,S9G3,0,0,19
715,9,S10G3,0,1,19
716,9,S11G3,0,1,17
717,9,S12G3,0,0,7
718,9,S13G3,0,1,15
719,9,S14G3,0,1,13
720,9,S15G3,0,1,20
721,9,S16G3,0,1,28
722,9,S17G3,0,1,15
723,9,S18G3,0,1,18
724,9,S19G3,0,1,23
725,9,S20G3,0,0,21
726,9,S1G4,0,1,66
727,9,S2G4,0,1,17
728,9,S3G4,0,1,16
729,9,S4G4,0,1,13
730,9,S5G4,0,0,21
731,9,S6G4,0,1,13
732,9,S7G4,0,1,16
733,9,S8G4,0,1,14
734,9,S9G4,0,1,20
735,9,S10G4,0,0,19
736,9,S11G4,0,0,12
737,9,S12G4,0,0,16
738,9,S13G4,0,0,16
739,9,S14G4,0,0,14
740,9,S15G4,0,0,12
741,9,S16G4,0,0,44
742,9,S17G4,0,0,51
743,9,S18G4,0,0,37
744,9,S19G4,0,0,16
745,9,S20G4,0,0,17
746,12,S1G1,0,1,34
747,12,S2G1,0,0,114
748,12,S3G1,0,0,68
749,12,S4G1,0,0,56
750,12,S5G1,0,0,54
751,12,S6G1,0,1,33
752,12,S7G1,0,0,35
753,12,S8G1,0,0,80
754,12,S9G1,0,1,43
755,12,S10G1,0,0,66
756,12,S11G1,0,0,33
757,12,S12G1,0,0,266
758,12,S13G1,0,0,65
759,12,S14G1,0,1,30
760,12,S15G1,0,1,31
761,12,S16G1,0,1,30
762,12,S17G1,0,0,31
763,12,S18G1,0,0,30
764,12,S19G1,0,1,15
765,12,S20G1,0,0,30
766,12,S21G1,0,1,44
767,12,S1G2,0,0,33
768,12,S2G2,0,1,64
769,12,S3G2,0,1,86
770,12,S4G2,0,1,36
771,12,S5G2,0,1,114
772,12,S6G2,0,1,40
773,12,S7G2,0,1,34
774,12,S8G2,0,1,48
775,12,S9G2,0,1,40
776,12,S10G2,0,1,33
777,12,S11G2,0,1,46
778,12,S13G2,0,1,77
779,12,S14G2,0,1,31
780,12,S15G2,0,1,32
781,12,S16G2,0,1,30
782,12,S17G2,0,1,30
783,12,S18G2,0,1,30
784,12,S19G2,0,1,30
785,12,S20G2,0,1,31
786,12,S21G2,0,1,45
787,12,S1G3,0,0,30
788,12,S2G3,0,1,98
789,12,S3G3,0,1,59
790,12,S4G3,0,1,76
791,12,S5G3,0,1,65
792,12,S6G3,0,1,32
793,12,S7G3,0,1,47
794,12,S8G3,0,1,42
795,12,S9G3,0,1,38
796,12,S10G3,0,1,31
797,12,S11G3,0,0,41
798,12,S12G3,0,1,66
799,12,S13G3,0,0,37
800,12,S14G3,0,1,31
801,12,S15G3,0,1,32
802,12,S16G3,0,1,30
803,12,S17G3,0,0,31
804,12,S18G3,0,0,31
805,12,S19G3,0,1,30
806,12,S20G3,0,1,46
807,12,S21G3,0,1,37
808,12,S1G4,0,0,35
809,12,S2G4,0,0,58
810,12,S3G4,0,1,45
811,12,S4G4,0,1,137
812,12,S5G4,0,0,42
813,12,S6G4,0,0,60
814,12,S7G4,0,1,62
815,12,S8G4,0,1,88
816,12,S9G4,0,1,36
817,12,S10G4,0,0,64
818,12,S11G4,0,1,34
819,12,S12G4,0,1,161
820,12,S13G4,0,1,73
821,12,S14G4,0,1,31
822,12,S15G4,0,0,31
823,12,S16G4,0,1,31
824,12,S17G4,0,0,30
825,12,S18G4,0,1,31
826,12,S19G4,0,1,30
827,12,S20G4,0,0,30
828,12,S21G4,0,0,43
829,13,S1G1,0,0,12
830,13,S2G1,0,0,13
831,13,S3G1,0,0,9
832,13,S4G1,0,0,8
833,13,S5G1,0,1,11
834,13,S6G1,0,0,6
835,13,S7G1,0,0,7
836,13,S8G1,0,0,8
837,13,S9G1,0,1,3
838,13,S10G1,0,0,4
839,13,S11G1,0,0,10
840,13,S12G1,0,1,9
841,13,S13G1,0,0,6
842,13,S14G1,0,0,6
843,13,S15G1,0,1,6
844,13,S16G1,0,1,16
845,13,S17G1,0,0,11
846,13,S18G1,0,0,5
847,13,S19G1,0,0,12
848,13,S20G1,0,0,8
849,13,S1G2,0,0,12
850,13,S2G2,0,1,12
851,13,S3G2,0,0,2
852,13,S4G2,0,1,11
853,13,S5G2,0,1,4
854,13,S6G2,0,0,14
855,13,S7G2,0,1,13
856,13,S8G2,0,1,6
857,13,S9G2,0,1,5
858,13,S10G2,0,1,2
859,13,S11G2,0,1,5
860,13,S12G2,0,0,7
861,13,S13G2,0,0,8
862,13,S14G2,0,1,16
863,13,S15G2,0,1,2
864,13,S16G2,0,0,28
865,13,S17G2,0,1,6
866,13,S18G2,0,0,6
867,13,S19G2,0,1,4
868,13,S20G2,0,1,9
869,13,S1G3,0,1,25
870,13,S2G3,0,1,24
871,13,S3G3,0,0,24
872,13,S4G3,0,1,9
873,13,S5G3,0,1,22
874,13,S6G3,0,1,13
875,13,S7G3,0,1,22
876,13,S8G3,0,1,4
877,13,S9G3,0,0,21
878,13,S10G3,0,0,12
879,13,S11G3,0,1,7
880,13,S12G3,0,1,11
881,13,S13G3,0,1,11
882,13,S14G3,0,0,11
883,13,S15G3,0,0,20
884,13,S16G3,0,0,16
885,13,S17G3,0,0,15
886,13,S18G3,0,1,16
887,13,S19G3,0,1,14
888,13,S20G3,0,1,6
889,13,S1G4,0,0,47
890,13,S2G4,0,1,8
891,13,S3G4,0,0,51
892,13,S4G4,0,0,17
893,13,S5G4,0,1,24
894,13,S6G4,0,1,18
895,13,S7G4,0,1,16
896,13,S8G4,0,0,15
897,13,S9G4,0,0,19
898,13,S10G4,0,0,14
899,13,S11G4,0,0,18
900,13,S12G4,0,1,4
901,13,S13G4,0,0,6
902,13,S14G4,0,0,7
903,13,S15G4,0,1,22
904,13,S16G4,0,1,17
905,13,S17G4,0,0,14
906,13,S18G4,0,0,14
907,13,S19G4,0,0,5
908,13,S20G4,0,0,8
909,15,S1G1,0,1,14
910,15,S2G1,0,0,16
911,15,S3G1,0,0,14
912,15,S4G1,0,1,18
913,15,S5G1,0,1,10
914,15,S6G1,0,0,18
915,15,S7G1,0,1,2
916,15,S8G1,0,0,7
917,15,S9G1,0,1,14
918,15,S10G1,0,1,2
919,15,S11G1,0,1,16
920,15,S12G1,0,1,10
921,15,S13G1,0,1,2
922,15,S14G1,0,0,16
923,15,S15G1,0,0,6
924,15,S16G1,0,1,8
925,15,S17G1,0,1,4
926,15,S18G1,0,0,2
927,15,S19G1,0,1,4
928,15,S20G1,0,1,2
929,15,S21G1,0,0,18
930,15,S1G2,0,1,18
